Supermarket,Latitude,Longitude,Suburb,Postcode,Address
Woolworths,-37.8489987,145.1339749,No Suburb,No Postcode,
Woolworths Metro,-37.8002028,144.9949422,Abbotsford,3067,247-259 Johnston Street
Frederick's Local Grocery,-37.818229,144.9975854,No Suburb,No Postcode,
Creswick IGA,-37.422427,143.8953847,Creswick,3363,Albert Street
Carlton Supermarket,-37.7926419,144.9692514,No Suburb,No Postcode,570 Lygon Street
Harvest Wholefoods,-37.051055,146.088977,No Suburb,No Postcode,
Foodworks,-38.0506821,147.5773458,No Suburb,No Postcode,
East West Marketplace,-37.8126918,144.9394884,No Suburb,3008,94 Waterfront Way
Woolworths,-37.8340002,145.0773307,No Suburb,No Postcode,
Foodworks,-37.7544234,144.9155326,No Suburb,No Postcode,93-97 Rose Street
Coles,-37.7721229,144.9784681,Brunswick East,3057,127-137 Nicholson Street
Coles,-37.8339607,144.6510554,No Suburb,No Postcode,200 Hummingbird Boulevard
ALDI,-38.2370672,146.429453,No Suburb,No Postcode,
IGA,-37.9112167,144.7714232,No Suburb,No Postcode,
Woolworths,-37.9212208,145.1399271,No Suburb,No Postcode,
Reynolds IGA,-38.3376255,143.5987119,No Suburb,No Postcode,
NQR,-37.9004051,144.6633174,No Suburb,No Postcode,
Hu Hui Supermarket,-37.8494493,145.1340355,No Suburb,No Postcode,
ALDI,-37.7881705,145.1479083,No Suburb,No Postcode,3-11 Mitchell Street
Foodworks,-37.8240916,144.9620137,Southbank,3006,180 City Road
Coles,-37.8196048,145.1203412,No Suburb,No Postcode,
Woolworths,-38.1080715,145.2506305,No Suburb,No Postcode,
IGA Xpress,-37.6540759,145.5152908,No Suburb,No Postcode,
IGA Xpress,-37.725327,144.8811644,No Suburb,No Postcode,
Beleura Hill Shop,-38.2203185,145.0526141,No Suburb,No Postcode,
Yahweh,-37.764606,144.9218945,No Suburb,No Postcode,
Andrew Street Grocer,-37.8572274,145.1237031,No Suburb,No Postcode,
Wyndham Harbour Mini Mart,-37.965617,144.7066647,No Suburb,No Postcode,
IGA Point Cook,-37.8990016,144.7398241,No Suburb,No Postcode,
Orlando's,-37.7864014,145.1067413,No Suburb,No Postcode,
Coles,-38.2277511,144.3399292,No Suburb,No Postcode,
Grocer eez,-37.8699778,144.7314209,No Suburb,No Postcode,428 Old Geelong Road
Woolworths,-38.2307704,144.3722793,No Suburb,No Postcode,
Lee's Asian Grocery,-37.8459557,144.99234,No Suburb,No Postcode,
Paddlewheel,-37.8459263,144.99261,No Suburb,No Postcode,
Woolworths,-37.7221703,144.5708161,No Suburb,No Postcode,
Foodworks,-37.594469,144.7239361,No Suburb,No Postcode,
Coles,-37.5365138,144.9212675,No Suburb,No Postcode,270 Donnybrook Road
Foodworks,-38.1669176,145.1087814,No Suburb,No Postcode,
Richies IGA Fine Food and Wine Merchants,-37.7363922,144.9691528,No Suburb,No Postcode,
Boort IGA plus Liquor,-36.1166247,143.7233144,No Suburb,No Postcode,
Asian Grocery,-35.3373226,143.5587764,No Suburb,No Postcode,
IGA,-35.7325678,143.9200794,No Suburb,No Postcode,
Wing Chong Asian Supermarket,-37.8097393,144.9939322,Richmond,3121,283 Victoria Street
Foodworks,-38.6523731,146.2010399,No Suburb,No Postcode,
ALDI,-38.1519413,145.1673256,No Suburb,No Postcode,330 Cranbourne Road
Coles,-38.1517473,145.1667323,No Suburb,No Postcode,330 Cranbourne Road
Foodworks,-37.8854272,144.9879436,Elwood,3184,109 Ormond Road
Boundy's Supa IGA,-37.754983,144.8971477,No Suburb,No Postcode,
Pascoe Vale Mini Mart,-37.7307393,144.9387095,No Suburb,No Postcode,
IGA,-37.7200923,144.9405948,Pascoe Vale,3044,110-112 Kent Road
Coles,-37.7227961,144.6701494,No Suburb,No Postcode,
ALDI,-38.0942353,145.3333701,No Suburb,No Postcode,
ALDI,-37.8742285,144.6782325,No Suburb,No Postcode,
Daly's IGA,-38.2916088,142.3642103,Koroit,3282,150 Commercial Road
Aldi,-37.7151535,144.8842921,No Suburb,No Postcode,
ALDI,-37.6875338,144.8843357,No Suburb,No Postcode,8-34 Gladstone Park Drive
ALDI,-37.5946365,144.9143905,No Suburb,No Postcode,340 Craigieburn Road
Woolworths,-38.3576144,142.4451446,Dennington,3280,Raglan Parade
Ecopact Groceries,-37.8029415,144.8988455,Footscray,3011,208 Nicholson Street
IGA Coleraine,-37.5980069,141.6905031,No Suburb,No Postcode,
Coles,-37.7140271,144.6022542,No Suburb,No Postcode,211 Ferris Road
ALDI,-37.7987035,144.9836527,Fitzroy,3065,247 Johnston Street
Coles,-37.9028636,144.6590679,No Suburb,No Postcode,143-163 Watton Street
IGA,-37.8612753,144.6742753,No Suburb,No Postcode,2-6 Deloraine Drive
IGA Xpress,-35.1851015,143.3443623,No Suburb,No Postcode,
Hotham Supermarket,-36.9816356,147.1425355,No Suburb,No Postcode,
Unnamed Supermarket,-36.9920911,147.1487579,No Suburb,No Postcode,
Woolworths,-37.2858316,144.947924,No Suburb,No Postcode,
IGA,-37.7356853,145.2722906,Wonga Park,3115,70 Jumping Creek Road
Woolworths,-37.6848714,145.1356942,No Suburb,No Postcode,
IGA,-37.6746392,145.1588555,No Suburb,No Postcode,
Green Square IGA plus Liquor,-37.8109903,145.007512,No Suburb,No Postcode,
Universal Way Spices,-38.0914081,145.2553953,No Suburb,No Postcode,
Homeland Spices Grocery Store,-38.1084857,145.2511055,No Suburb,No Postcode,
Kuya JJ Asian Grocery,-38.1084035,145.2511267,No Suburb,No Postcode,
Casey Supermarket & Butcher,-38.1028395,145.2656435,No Suburb,No Postcode,
IGA,-38.1158311,145.2408454,No Suburb,No Postcode,
Apna Bazaar Indian Supermarket,-38.08485,145.2916296,No Suburb,No Postcode,
NQR,-38.110829,145.2821454,No Suburb,No Postcode,
Balwyn North Asian Supermarket,-37.7930241,145.0721899,No Suburb,No Postcode,
IGA,-37.3479587,144.7414332,No Suburb,No Postcode,
Coles,-34.2108266,142.1396072,Mildura,3500,832 Fifteenth Street
Friendly Grocer,-37.8305437,145.2438058,Heathmont,3135,163 Canterbury Road
IGA,-37.8277952,145.2471846,Heathmont,3135,116-120 Canterbury Road
ALDI,-37.7934467,145.2785468,Croydon,3136,5-15 Kent Avenue
IGA,-37.8211081,145.1419147,Blackburn,3130,11 Salisbury Avenue
IGA Express,-38.0889173,145.1284277,Seaford,3198,115 Railway Parade
Blake Family Grocers,-37.3400211,144.1451252,Daylesford,3460,1 Howe Street
Ruby Goose Foods,-37.3886374,144.3220107,Trentham,3458,40 High Street
Cheaper Buy Miles,-37.7749261,144.9606389,No Suburb,No Postcode,109 Sydney Road
Terra Madre,-37.7585768,144.963429,Brunswick,3056,775-781 Sydney Road
IGA,-37.7802739,145.4278501,Wandin North,3139,388 Warburton Highway
Coles,-37.7710664,145.2940313,Croydon North,3136,401-415 Maroondah Highway
Agora IGA Xpress,-37.7206367,145.0487718,No Suburb,No Postcode,
NQR,-38.1105634,144.3405441,No Suburb,No Postcode,
Hugsiam Asian Grocery,-38.1108869,144.342109,No Suburb,No Postcode,
Welshpool Supermarket,-38.6657911,146.4369242,No Suburb,No Postcode,
Wandong IGA,-37.3583061,145.0265944,No Suburb,No Postcode,
Spiral Tubes,-37.6559749,145.5061028,Healesville,3777,6-8 Ardill Street
Woolworths,-37.6161622,144.9153001,No Suburb,No Postcode,
NQR,-37.8175701,145.2239491,No Suburb,No Postcode,
St Albans Supermarket & Halal Meat,-37.7442247,144.7983251,No Suburb,No Postcode,
IGA,-37.8947805,144.6224075,No Suburb,No Postcode,
Woolworths,-38.2178096,145.0389791,No Suburb,No Postcode,
Coles,-37.8173906,144.9988683,Richmond,3171,240 Church Street
Overton Lea Indian Groceries,-37.6954331,144.7655507,No Suburb,No Postcode,2 Overton Lea Boulevard
Woolworths,-37.82581,144.9635577,No Suburb,No Postcode,
Foodworks,-37.7251379,145.3790863,Coldstream,3770,670-672 Maroondah Highway
Traralgon Asian Groceries,-38.1962636,146.5404186,Traralgon,3850,2 Seymour Street
ABC Supermarket,-37.8266695,145.2561383,Heathmont,3135,30 Canterbury Road
Korean World,-37.8206728,145.1240988,No Suburb,No Postcode,4 Ellingworth Parade
Cam Ngoc Asian Grocery,-37.7985575,144.8172299,No Suburb,No Postcode,
IGA,-37.7985236,144.8177624,No Suburb,No Postcode,
Om Sevvel Indian Store,-37.8161719,145.2258226,Ringwood,3134,107 Maroondah Highway
The South African Shop,-37.757048,145.1281259,Templestowe,3106,112 James Street
Naturally On High,-37.7597333,145.0002691,Thornbury,3071,697-699 High Street
IGA,-37.8120235,145.2516228,Ringwood East,3135,82-90 Railway Avenue
Chinland Asian Grocery,-37.812436,145.2499075,Ringwood East,3135,52 Railway Avenue
Foodworks,-37.6813787,145.0253087,No Suburb,3074,126 Alexander Avenue
Woolworths,-38.0437523,144.1705198,No Suburb,No Postcode,
IGA,-37.8112725,145.2704883,Croydon South,3136,13 The Mall
Karen Asian Grocery,-37.8117989,145.2700736,Croydon South,3136,37 The Mall
Eastfield Natural Foods,-37.811872,145.2700207,Croydon South,3136,39-41 The Mall
Shazza's Fruit & Veggies,-38.0453984,144.1708644,No Suburb,No Postcode,
Coles,-38.1497807,145.2897666,No Suburb,No Postcode,2-30S Hummingbird Drive
Fuji Mart,-37.8458546,144.9936826,South Yarra,3141,34 Elizabeth Street
Coles,-37.8760273,145.0376175,No Suburb,No Postcode,
Woolworths,-37.7761084,144.9285108,No Suburb,No Postcode,
ALDI,-37.8677301,145.2387933,No Suburb,No Postcode,425 Burwood Highway
Woolworths,-37.8677686,145.2379217,No Suburb,No Postcode,
IGA,-38.0516254,145.2873009,Narre Warren South,3805,245 Ormond Road
Woolworths,-37.974201,145.2052615,No Suburb,No Postcode,
Tiem Tap Hoa Asian Grocer,-37.7948464,144.9415679,No Suburb,No Postcode,
Woolworths,-37.6025697,145.1000383,No Suburb,No Postcode,
Woolworths Metro,-37.9738785,145.0163098,Black Rock,3193,39-41A Bluff Road
Woolworths,-37.7301438,144.7430619,No Suburb,No Postcode,
IGA,-37.7125819,144.7260158,No Suburb,No Postcode,
Gum Tree Good Food,-37.8388985,144.9902376,South Yarra,3141,114 Toorak Road
Organic Wholefoods,-37.7634376,144.9730183,No Suburb,No Postcode,467 Lygon Street
Foodworks,-37.7631481,144.9733325,No Suburb,3057,474 Lygon Street
Woolworths Metro,-37.8100673,144.9587799,No Suburb,No Postcode,
Woolworths,-38.3615342,144.8904717,No Suburb,No Postcode,
Friendly Grocer,-35.2631991,141.1840807,No Suburb,No Postcode,
IGA,-37.8278021,145.1943445,No Suburb,No Postcode,
Serendipity,-37.8430583,145.0543907,No Suburb,No Postcode,555 Burke Road
Coles,-37.8112818,145.1535054,No Suburb,No Postcode,66-104 Springfield Road
Woolworths,-37.8123394,145.1527346,No Suburb,No Postcode,
ALDI,-37.8112786,145.1520958,No Suburb,No Postcode,
IGA,-37.5596167,143.8852747,No Suburb,No Postcode,200 Victoria Street
Srini's Ceylon Madura,-37.8821544,145.1092559,No Suburb,No Postcode,422 Huntingdale Road
ALDI,-37.941289,145.1683577,No Suburb,No Postcode,754-768 Princes Highway
Strathfieldsaye Champions IGA,-36.8055696,144.3572257,No Suburb,3551,939 Wellington Road
Dockendorf Grocer,-37.9043418,144.9982759,No Suburb,No Postcode,12 Cochrane Street
Bayswater Fresh,-37.8428677,145.267082,No Suburb,No Postcode,
Mr. Dad Super Market,-37.8062642,144.9617649,No Suburb,No Postcode,
Tan Huang Asian Grocer,-37.8196347,145.1225176,No Suburb,No Postcode,
Persian Halal Butchery & Grocery,-37.7883914,145.149426,No Suburb,No Postcode,
Fawkner Express Grovery Store,-37.8385464,144.9769345,Melbourne,3004,431 St Kilda Road
IGA X-press,-37.8176845,144.9583477,No Suburb,No Postcode,
IGA - Greenvale,-37.6389263,144.8804683,No Suburb,No Postcode,
Coles,-37.8784912,145.0923339,Ashwood,No Postcode,695 Warrigal Road
Woolworths Metro,-37.8072174,144.943022,No Suburb,No Postcode,
Fawkner Mini mart,-37.7026596,144.9652668,No Suburb,No Postcode,
Hong Asian Grocery Shop,-35.9197065,145.6493799,Cobram,3644,39 High Street
Lockington Friendly Grocer + Liquor,-36.2714207,144.5356462,No Suburb,No Postcode,
Mahalaxmi Grocery and convenience store,-37.7419633,144.9652844,No Suburb,No Postcode,
Woolworths,-37.8318024,144.8831375,No Suburb,No Postcode,
Lake Bolac Licensed Supermarket,-37.7123253,142.8392691,No Suburb,No Postcode,
ALDI,-38.3471445,141.6021559,No Suburb,No Postcode,29 Henty Street
Huntly IGA X-press,-36.6657147,144.3317152,No Suburb,No Postcode,
Unnamed Supermarket,-36.3122009,145.0499305,No Suburb,No Postcode,
NQR,-37.7847239,144.771428,No Suburb,No Postcode,
Heidelberg Pickles And Pappads,-37.7565602,145.0681732,No Suburb,No Postcode,
Coles,-38.0949019,145.3623668,No Suburb,No Postcode,
Foodworks,-37.6501579,143.8853867,No Suburb,No Postcode,
Foodworks,-37.9360111,145.0612301,East Bentleigh,3165,293 Chesterville Road
Big Watermelon,-37.8748714,145.2053244,No Suburb,No Postcode,
Claremont Supermarket,-37.8383107,144.9935719,No Suburb,No Postcode,3 - 7 Claremont Street
Montrose IGA,-37.8106287,145.3431529,No Suburb,No Postcode,
Bivihome,-37.7662487,145.0299719,No Suburb,3071,351 Darebin Road
ALDI,-37.9772167,145.2586075,No Suburb,No Postcode,
Coles,-37.8386433,144.9417288,No Suburb,No Postcode,
Coles,-37.7752157,144.8866386,No Suburb,No Postcode,
Coles,-37.5733957,144.8994405,No Suburb,No Postcode,
Bentleigh Supermarket,-37.917629,145.0342877,No Suburb,No Postcode,
IGA,-37.8857274,145.0586068,Carnegie,3163,18-30 Woorayl Street
Coles,-37.816873,144.8810662,No Suburb,No Postcode,1-3 High Street
IGA,-37.7191287,144.9071953,No Suburb,No Postcode,
Coles,-37.9112361,144.6145199,No Suburb,No Postcode,
Sri Kumaran Stores,-38.0941151,145.3329963,No Suburb,No Postcode,
NQR,-37.8183945,145.1204943,No Suburb,No Postcode,
Foodworks,-37.883565,144.689379,Hoppers Crossing,3029,70 Warringa Crescent
Foodworks,-38.197436,146.5237592,No Suburb,No Postcode,
Foodworks,-37.8204789,145.1052753,No Suburb,No Postcode,
Morgan's IGA,-37.7921897,144.7895016,No Suburb,No Postcode,
Pantre,-37.810497,144.9621678,No Suburb,No Postcode,
Hometown Grocer,-37.8103363,144.963081,No Suburb,No Postcode,
Woolworths,-37.7381316,144.8928873,No Suburb,No Postcode,
Coles,-37.7052592,144.9167752,No Suburb,No Postcode,
IGA,-37.7071083,144.9186123,No Suburb,No Postcode,
IGA,-37.8000464,144.9653246,No Suburb,No Postcode,
