Supermarket,Latitude,Longitude,Suburb,Postcode,Address
Coles,-37.7612778,145.1698916,No Suburb,No Postcode,
Woolworths,-37.7621241,145.1680902,No Suburb,No Postcode,
IGA,-37.4860094,144.5889963,No Suburb,No Postcode,
Coles,-37.4851623,144.5906378,No Suburb,No Postcode,10-20 Aitken Street
ALDI,-37.853724,145.1510417,No Suburb,No Postcode,
Fresh Central,-37.8630062,145.0772974,Ashburton,3147,207 High Street
IGA,-37.8630603,145.0777897,Ashburton,3147,"219,221 High Street"
Mirboo North IGA,-38.4014473,146.1585741,No Suburb,3871,72-74 Ridgway
IGA,-37.8108447,147.6310258,No Suburb,No Postcode,
Woolworths Metro,-37.7888884,144.9910691,No Suburb,3068,141-147 Queens Parade
ALDI,-37.7709122,144.9616256,Brunswick,3056,292-298 Sydney Road
IGA,-37.758154,144.9393573,Brunswick West,3055,6 Olive York Way
Coles,-38.6037001,145.5864483,No Suburb,No Postcode,2 Biggs Drive
Foodworks,-38.754813,143.668025,Apollo Bay,No Postcode,
ALDI,-37.829949,144.9573832,No Suburb,No Postcode,100 Market Street
Village Grocer,-37.1461904,146.4489816,No Suburb,No Postcode,
Woolworths,-37.7441436,142.0244852,No Suburb,No Postcode,
IGA Xpress,-37.7273378,145.0702893,No Suburb,No Postcode,
King & Godfree,-37.798456,144.967093,No Suburb,No Postcode,293 Lygon Street
Woolworths,-38.0727117,145.4372643,No Suburb,No Postcode,
Foodworks,-38.0266194,145.1022339,No Suburb,3195,130-131 Station Street
Woolworths,-37.8001309,145.2830309,Croydon,3136,224-238 Mount Dandenong Road
Xin Fang Supermarket,-37.808246,144.955088,No Suburb,No Postcode,
Frootz on Parade,-37.789079,144.989017,No Suburb,No Postcode,274 Queens Parade
Foodworks,-37.2329489,145.9099342,No Suburb,No Postcode,
Coles,-37.7563965,145.3542278,Lilydale,3140,Castella Street
Champions SUPA IGA Heathcote,-36.9195203,144.7057016,No Suburb,No Postcode,
Woolworths,-36.7039071,144.3184178,No Suburb,No Postcode,
Ritchies,-38.0268159,145.30377,No Suburb,No Postcode,
ALDI,-37.8825998,144.7360131,No Suburb,No Postcode,4 Main Street
Coles,-37.8825051,144.7346373,No Suburb,No Postcode,1 Main Street
Doyles IGA,-35.98254,142.9172578,No Suburb,No Postcode,
Jasons IGA and Liquor,-35.069117,142.3146899,No Suburb,No Postcode,
Sonsa Foods,-37.8025305,144.9838161,No Suburb,No Postcode,216-218 Smith Street
Woolworths,-37.6803737,144.9182109,No Suburb,No Postcode,
Coles,-37.679686,144.9186507,No Suburb,No Postcode,1099-1169 Pascoe Vale Road
Woolworths,-38.1065905,147.0621143,No Suburb,No Postcode,
Ritchies,-37.9667782,146.976573,No Suburb,No Postcode,
KFL Supermarkets,-37.7825675,144.8642093,Braybrook,3019,227 Ballarat Road
ALDI,-37.7561861,145.3119747,Chirnside Park,3116,239-241 Maroondah Highway
Coles,-37.7569568,145.3133008,No Suburb,No Postcode,
ALDI,-37.8952997,144.7522522,No Suburb,No Postcode,300 Point Cook Road
Woolworths,-37.8306564,144.9573651,No Suburb,No Postcode,
Woolworths,-37.5976715,144.9384264,No Suburb,No Postcode,
